Codigo,Produto,Fabricante,PrecoVenda,Quantidade 
7899089421164,Avon Solutions creme facial iluminador dia- laranj,24,5 
7899089420259,Avon Solutions antiage creme facial noite,29,12 
7899089424295,Avon Solutions creme facial clareador dia,27,4 
7899089424301,Avon Solutions banish creme facial clareador noite,27,5 
7899089422833,Avon Solutions hidra uv urban,29,0 
7899089427234,Avon Solutions banishing creme clareador olheiras,20,3 
7899089411356,Avon clearskin professional anti acne,30,4 
7899089426411,Avon Águas Brisas segredos ondas,51,2 
7899089423304,Avon Aguas Brisa  lavanda enfeitada,51,0 
7899089419703,Avon Águas Brisa amarilis alegre,51,0 
7898517651050,Natura Aguas de Viver refrescante,"49,9",1 
7898517651081,Natura Águas de viver envolvente,"49,9",2 
7898528402764,Natura Águas de namorar refrescante,"49,9",1 
7898528402771,Natura Águas de namorar envolvente,"49,9",1 
7898513049417,Jequiti Abissal homem colonia des masculina,"69,9",0 
7898480578279,Jequiti Air Eletric colonia desodorante masculino,"59,9",0 
