7899089424448,2,"Avon Care Family gel Antisepco  Maos","7,00",4
7899089410601,2,"Avon Clearskin Creme Esfoliante pele Oleosa","15,00",11
7899089436663,2,"Avon Clearskin Gel Facial Limpeza Profunda","13,00",3
7899089423441,2,"Avon Clearskin Locao Tonica Facial","13,00",0
7899089411295,2,"Avon Clearskin Base Hidratante","14,00",4
7899089410427,2,"Avon Clearskin Mascara Facial Remov de Cravos","15,00",7
7899089413398,2,"Avon Care Aclara creme facial clareador","12,00",0
7899089424318,2,"Avon Solutions gel facial antibrilho noite","24,00",11
7899089424325,2,"Avon Solutions  balance creme facial -dia","24,00",4
7899089423762,2,"Avon Solutions creme facial iluminador noite","24,00",6
7899089421164,2,"Avon Solutions creme facial iluminador dia- laranj","24,00",5
7899089420259,2,"Avon Solutions antiage creme facial noite","29,00",10
7899089424295,2,"Avon Solutions creme facial clareador dia","27,00",4
7899089424301,2,"Avon Solutions banish creme facial clareador noite","27,00",6
7899089422833,2,"Avon Solutions hidra uv urban","29,00",0
7899089427234,2,"Avon Solutions Banishing Creme clareador olheiras","20,00",3
7899089411356,2,"Avon Clearskin Professional Anti Acne","30,00",4
7899089426411,2,"Avon Aguas Brisas Segredos Ondas","51,00",2
7899089423304,2,"Avon Aguas Brisa Lavanda Enfeitada","51,00",0
7899089419703,2,"Avon Aguas Brisa Amarilis Alegre","51,00",0
7898517651050,1,"Natura Aguas de Viver Refrescante","49,90",1
7898517651081,1,"Natura Aguas de Viver Envolvente","49,90",4
7898528402764,1,"Natura Aguas de Namorar Refrescante","49,90",1
7898528402771,1,"Natura Aguas de Namorar Envolvente","49,90",1
7898513049417,3,"Jequiti Abissal homem colonia des masculina","69,90",0
7898480578279,3,"Jequiti Air Eletric colonia desodorante masculino","59,90",0
7898469801572,3,"Jequiti Aire colonia desodorante masculina","59,90",0
7898480574530,3,"Jequiti Uzon fogo colonia desodorante","64,90",0
7898480579276,3,"Jequiti Diva Ebano colonia desodorante feminino","65,90",0
7898496310481,1,"Natura Kayak Aventura Colonia Desodorante Masculin","83,10",0
7898532708241,1,"Natura Kaiak Urbe Desodorante Colonia Masculino","83,60",6
7898501069014,1,"Natura Kayak Pulso Desod.Colonia Masculina","83,10",0
7898496310467,1,"Natura Kayak Deso Colonia Masculina","83,10",0
7898528408421,1,"Natura Homem  Deso Colonia Masculino","89,90",4
7898528408452,1,"Natura Homem Ion  Deso Colonia Masculino","89,90",0
7898487306806,1,"Natura Humor 5 Deso Colonia Feminina","83,10",0
7898517652163,1,"Natura Humor Bombom Humor","83,10",0
7898422498023,1,"Natura Humor 2 Deso Colonia Masculina","83,10",4
7898473138893,1,"Natura Biografia Volume 2 Desod Colonia Feminina","76,90",2
7898548810471,1,"Natura Seve Rosa Violeta Deso Corporal","59,90",0
7898532692939,1,"Natura Seve Oleo de Pimenta Rosa Deso Corporal","59,90",3
7898487297258,1,"Natura Seve Pimenta Rosa Deso Corporal","59,90",2
78912164,2,"Avon Petit Lavande Colonia Deo  Feminina","25,00",3
78912161,2,"Avon Petit Deo Colonia Feminino","25,00",6
7899089410991,2,"Avon Herve Leger eau de toillete feminino","69,00",0
7899089411103,2,"Avon Herve Leger Eau Toilette Masculino","69,00",5
7899089422185,2,"Avon Christian Lacroix Nuit Eau Parfum Feminino","69,00",1
7899089425377,2,"Avon Eternal magic eau toilette floral musc fem","86,80",0
7899089419086,2,"Avon Outspoken Intense des colonia","67,00",89
